brand,type,miles,years,location,nowprice,preprice
奥迪Q3,2018款,5万公里,2018-08,深圳,13.68,28.83万
途乐,2018款,9万公里,2017-11,长沙,31.80,60.57万
宝马5系,2014款,6万公里,2015-02,上海,23.50,62.59万
英朗,2015款,6万公里,2015-07,上海,3.98,13.77万
奥迪A4L,2019款,3.9万公里,2019-08,深圳,20.10,32.65万
奔驰GLS,2020款,4.73万公里,2020-07,青岛,103.80,137.64万
科鲁兹,2011款,8万公里,2010-06,上海,1.58,13.88万
Passat领驭,2007款,9万公里,2007-05,上海,0.88,23.32万
Panamera,2014款,16万公里,2014-04,台州,,已降1.5万
别克GL8,2011款,9.1万公里,2012-06,大连,6.78,39.95万
奔驰GLE,2021款,2.7万公里,2021-03,西安,82.80,90.62万
奔驰C级,2017款,9.2万公里,2017-03,西安,17.50,35.36万
保时捷911,2012款,6万公里,2014-11,杭州,72.80,159.02万
奔驰S级,2019款,6.39万公里,2019-06,青岛,85.80,130.45万
贵士,2015款,6.6万公里,2015-05,北京,21.80,50.80万
奔驰E级,2022款,0.75万公里,2021-11,长沙,47.58,54.15万
奥迪A4L,2020款,1.3万公里,2021-03,南昌,27.50,39.49万
雷克萨斯ES,2020款,0.51万公里,2021-08,广州,37.80,41.90万
雷克萨斯ES,2020款,4.08万公里,2021-02,广州,34.60,40.60万
奔驰E级,2020款,3.1万公里,2020-01,西安,42.50,53.49万
奔驰E级,2019款,8万公里,2019-03,西安,33.80,53.49万
奔驰GLC,2021款,2.7万公里,2021-03,西安,36.80,49.37万
奔驰C级,2018款,4.5万公里,2017-11,西安,18.80,35.15万
奥迪A3,2015款,6.3万公里,2015-09,成都,9.38,26.68万
奥迪A4L,2019款,6.37万公里,2019-07,西安,19.30,36.45万
奥迪A6L,2019款,7.46万公里,2020-03,西安,34.30,50.34万
奥迪S4,2020款,1.6万公里,2021-02,上海,46.98,50.89万
迈锐宝,2012款,8万公里,2012-09,上海,3.18,18.44万
宝马3系,2018款,4.8万公里,2018-07,西安,18.80,35.15万
君越,2010款,9万公里,2010-09,上海,2.68,29.62万
Macan,2021款,1.5万公里,2021-09,杭州,52.80,57.64万
辉昂,2021款,2.02万公里,2022-02,合肥,26.80,37.23万
奥迪SQ5,2021款,0.05万公里,2021-09,金华,56.80,65.00万
迈腾,2013款,8.8万公里,2013-03,合肥,6.28,25.27万
埃尔法,2018款,7万公里,2018-05,上海,80.80,87.81万
奥迪A4(进口),2014款,12万公里,2014-05,上海,11.80,51.00万
揽胜极光(进口),2015款,8万公里,2015-10,上海,14.50,68.17万
埃尔法,2018款,8.7万公里,2018-05,合肥,79.88,93.78万
揽胜极光,2022款,0.2万公里,2022-09,合肥,29.88,46.65万
奔驰GLC,2017款,6万公里,2017-12,上海,24.60,46.57万
飞度,2014款,7万公里,2015-11,上海,2.80,9.64万
Polo,2019款,3万公里,2019-08,上海,4.18,11.93万
宝马5系GT,2010款,11万公里,2014-03,上海,28.80,201.90万
轩逸,2018款,4.2万公里,2017-11,上海,3.80,14.96万
雷克萨斯LX,2013款,19.3万公里,2014-04,唐山,72.50,188.87万
发现神行,2016款,6.9万公里,2016-01,沈阳,15.98,50.80万
宝马X3,2021款,1.9万公里,2021-08,沈阳,32.80,46.22万
秦PLUS,2021款,1万公里,2021-10,温州,10.98,13.66万
宝马X3,2018款,3.9万公里,2018-11,温州,28.68,46.22万
奔驰GLE,2021款,0.85万公里,2021-03,杭州,84.98,96.59万
荣威RX5,2020款,1万公里,2020-06,广州,9.98,15.17万
荣威i6,MAX,1.1万公里,2020-10,广州,7.38,12.90万
宝马2系旅行车(进口),2015款,6万公里,2016-10,金华,8.50,30.38万
凯迪拉克ATS-L,2017款,7万公里,2017-12,金华,12.20,29.72万
马自达3,昂克赛拉,7.9万公里,2015-12,佛山,6.38,15.08万
宝马X1,2021款,3.76万公里,2021-01,宁波,21.98,36.88万
宝马2系,2021款,0.89万公里,2021-09,宁波,22.88,29.29万
宝马2系旅行车,2018款,5.33万公里,2019-09,宁波,10.98,26.03万
宝马1系,2021款,0.24万公里,2021-11,宁波,15.98,24.62万
宝马5系新能源,2021款,0.37万公里,2021-11,宁波,42.98,58.28万
宝马5系,2021款,0.63万公里,2021-11,宁波,40.98,50.68万
宝马X4,2021款,1.4万公里,2021-04,苏州,44.98,60.45万
保时捷911,2020款,2.2万公里,2021-03,合肥,139.80,145.78万
宝马5系,2013款,12.7万公里,2013-11,南宁,12.88,46.52万
Cayenne新能源,2021款,1.1万公里,2021-07,嘉兴,83.80,94.22万
别克GL8,2017款,5万公里,2017-07,大连,15.98,29.30万
宝马X3,2021款,3.19万公里,2021-07,深圳,37.18,52.08万
宝马X3,2022款,0.5万公里,2022-01,深圳,41.98,51.65万
宝马iX3,2021款,1.88万公里,2021-07,深圳,28.88,43.41万
MINI,2022款,0.4万公里,2022-03,苏州,27.98,31.78万
发现运动版,2020款,4.5万公里,2020-06,西安,21.20,41.55万
奥迪A7,2021款,2.29万公里,2021-01,郑州,50.98,66.52万
奥迪A6L,2022款,0.01万公里,2022-08,郑州,36.20,45.57万
奥迪Q3,2021款,0.1万公里,2021-01,铜陵,22.68,31.24万
宝马1系(进口),2018款,9.4万公里,2018-03,苏州,9.80,27.12万
宝马X1,2021款,4.1万公里,2021-03,苏州,21.98,36.88万
奥迪Q7,2018款,9.31万公里,2018-08,上海,47.50,105.72万
宝马iX3,2022款,0.33万公里,2021-10,杭州,31.98,43.41万
宝马X1,2021款,0.3万公里,2021-10,天津,22.50,36.88万
宝马5系新能源,2022款,0.18万公里,2022-05,杭州,38.80,54.26万
宝马3系,2017款,7.6万公里,2017-06,杭州,16.98,35.38万
揽胜,2017款,7.5万公里,2016-09,北京,81.80,179.97万
奥迪A6L新能源,2020款,0.01万公里,2022-09,郑州,41.58,55.14万
奥迪A3,2020款,1.78万公里,2020-07,郑州,13.58,21.19万
奔驰C级,2020款,3万公里,2020-01,西安,24.90,37.64万
奥迪A4L,2018款,8.9万公里,2018-08,武汉,17.90,39.84万
皇冠,2015款,6.8万公里,2016-11,武汉,17.99,30.91万
奔驰E级,2022款,0.5万公里,2021-12,武汉,39.80,47.75万
奥迪A6L,2022款,0.01万公里,2022-08,郑州,37.18,45.57万
奔驰CLS,2018款,2.2万公里,2019-09,西安,45.90,68.80万
奥迪A4L,2019款,9万公里,2019-10,无锡,18.58,36.45万
宝马X5(进口),2020款,3.9万公里,2020-01,济南,52.90,75.97万
辉昂,2019款,7.9万公里,2019-02,深圳,20.98,36.91万
奥迪Q8,2019款,2.34万公里,2020-07,上海,55.80,83.45万
奥迪e-tron(进口),2021款,0.14万公里,未上牌,北京,50.30,78.02万
奥迪A5,2019款,7.6万公里,2019-04,温州,26.50,40.36万
奥迪A6L,2017款,6万公里,2017-05,温州,25.58,57.58万
奥迪A4L,2017款,7万公里,2017-08,温州,16.98,37.52万
奔驰GLA,2018款,7.5万公里,2018-05,沧州,14.80,31.35万
奥迪A3,2020款,2.7万公里,2020-03,温州,14.18,23.85万
奥迪Q5L,2021款,1.7万公里,2021-10,温州,34.80,48.87万
凯迪拉克CT4,2020款,4.7万公里,2020-04,苏州,16.88,28.19万
卡罗拉,2013款,5.1万公里,2014-04,武汉,4.80,14.85万
途胜,2019款,8万公里,2020-05,苏州,10.88,19.53万
凯迪拉克XT5,2017款,12万公里,2017-05,苏州,15.28,42.32万
别克GL6,2019款,6万公里,2019-04,苏州,7.28,18.12万
别克GL8,2014款,25万公里,2015-08,苏州,9.18,31.47万
宝马3系,2013款,17.51万公里,2013-05,苏州,9.88,51.34万
标致408,2011款,11万公里,2011-12,苏州,2.38,15.40万
零跑T03,2021款,2万公里,2021-10,苏州,6.88,7.58万
奥迪A6L,2019款,3.89万公里,2019-09,滨州,39.58,58.81万
奥迪A6L,2021款,0.05万公里,2022-03,滨州,37.98,48.17万
奥迪A6L,2021款,2.6万公里,2021-05,滨州,43.98,59.14万
劲客,2017款,9.35万公里,2018-08,苏州,6.88,14.09万
宝马X3,2020款,10.2万公里,2020-01,苏州,29.98,46.22万
奔驰C级,2022款,1.6万公里,2021-10,杭州,29.98,35.30万
ID.4,CROZZ,1.1万公里,2021-08,长春,17.38,26.04万
奥迪A6L,2018款,5万公里,2017-12,武汉,21.68,43.72万
迈特威,2019款,9.7万公里,2019-06,西安,34.18,55.01万
凯美瑞,2019款,2.2万公里,2020-05,西安,16.30,21.69万
迈特威,2018款,14.4万公里,2018-07,西安,29.98,55.01万
夏朗,2014款,6.9万公里,2016-07,西安,10.80,39.03万
别克GL8,2017款,10.9万公里,2017-05,保定,23.58,43.41万
秦新能源,2017款,4.6万公里,2020-09,上海,3.88,20.18万
沃尔沃S60新能源,2015款,5.3万公里,2015-12,上海,7.80,54.91万
奔驰C级,2022款,0.8万公里,2021-10,杭州,29.80,35.30万
尚酷,2011款,6.1万公里,2014-01,成都,13.28,43.29万
奔驰C级AMG,2019款,2.5万公里,2019-09,上海,69.80,100.17万
迈巴赫S级,2016款,15.9万公里,2016-06,上海,72.80,159.35万
奥迪A7,2019款,3.4万公里,2019-07,常州,62.98,85.84万
奥迪S4,2020款,1.5万公里,2021-01,常州,45.80,50.89万
奥迪A5,2019款,3.6万公里,2019-07,常州,34.58,52.08万
奥迪RS,4,6.9万公里,2019-06,常州,68.88,89.31万
奥迪A3,2021款,0.01万公里,未上牌,常州,22.80,26.40万
奥迪A8,2022款,0.8万公里,2022-01,石家庄,79.98,108.42万
奥迪SQ5,2021款,0.2万公里,2021-09,石家庄,53.98,65.00万
奥迪A6L,2021款,3.5万公里,2021-02,石家庄,34.48,45.57万
宝马iX3,2022款,0.6万公里,2021-10,石家庄,32.80,47.75万
宝马X3,2022款,0.5万公里,2021-10,石家庄,39.80,51.65万
奥迪A4L,2017款,9.2万公里,2018-01,济南,16.68,36.88万
奥迪A3,2019款,3.2万公里,2019-08,济南,12.68,23.75万
奥迪Q5L,2018款,3.3万公里,2019-03,南京,26.58,44.92万
奥迪Q5L,2021款,0.6万公里,2021-05,济南,37.98,52.86万
宝马5系,2018款,9.31万公里,2018-02,石家庄,30.88,54.15万
奔驰C级AMG,2021款,2.3万公里,2021-09,南京,53.58,62.28万
帝豪,2017款,4.2万公里,2017-01,西安,3.68,9.86万
宝马X1,2022款,0.4万公里,2021-10,淄博,22.88,36.23万
奥迪S4,2020款,1.2万公里,2021-04,济南,44.98,50.89万
奥迪A6(进口),2021款,2.1万公里,2020-12,济南,35.98,52.08万
奥迪A4(进口),2020款,1.9万公里,2020-07,武汉,26.78,37.10万
奥迪Q7,2016款,7.3万公里,2016-12,武汉,34.98,85.62万
卡罗拉,2014款,8.5万公里,2015-06,武汉,5.58,12.79万
雷克萨斯UX,2020款,0.27万公里,2021-04,武汉,19.98,28.11万
揽胜极光新能源,2021款,1.1万公里,2021-11,天津,31.60,48.39万
奔驰GLE,2021款,1.05万公里,2021-01,南京,88.68,96.59万
林肯MKC,2017款,11.4万公里,2017-03,昆明,13.98,38.40万
飞行家,2020款,1.7万公里,2020-11,昆明,46.58,65.11万
奔驰GLA,2016款,9万公里,2017-07,东莞,12.88,29.29万
雷克萨斯ES,2018款,4.87万公里,2018-10,宁波,29.38,38.97万
奔驰GLC轿跑,AMG,1万公里,2021-01,上海,75.80,128.17万
奔驰G级,2013款,13万公里,2014-11,佛山,93.80,184.31万
总裁,2013款,5.2万公里,2016-10,上海,58.80,249.44万
Model,Y,2.73万公里,2021-11,上海,,已降5000元
宝马3系,2021款,3.21万公里,2021-07,北京,29.80,37.66万
宝马3系,2021款,2.3万公里,2021-01,北京,31.58,39.28万
宝马X3,2022款,0.6万公里,2021-09,北京,41.30,51.65万
宝马6系GT,2021款,0.88万公里,2021-06,北京,63.80,74.78万
宝马X1,2020款,2.47万公里,2020-06,北京,19.80,33.63万
宝马X1,2019款,7.95万公里,2019-05,北京,17.50,33.63万
宝马3系,2022款,0.58万公里,2021-10,北京,34.30,38.96万
Panamera,2019款,2.9万公里,2019-04,成都,,已降4.2万
Panamera,2019款,1.2万公里,2020-04,成都,,已降2万
Panamera,2019款,1.3万公里,2019-01,成都,,已降2.4万
Panamera,2021款,2.8万公里,2020-04,成都,,已降1.6万
奔驰C级,2017款,11万公里,2017-05,北京,,已降4000元
揽胜,2020款,2.33万公里,2021-01,上海,133.80,170.74万
Panamera,2019款,3.6万公里,2019-04,成都,,已降2.8万
宝马X1,2016款,4.1万公里,2017-04,北京,13.98,33.22万
雷克萨斯LX,2019款,2.5万公里,2020-05,成都,,已降5.4万
宝马X2,2022款,0.26万公里,2021-10,昆明,22.80,33.63万
宝马3系,2017款,4.2万公里,2017-10,昆明,17.50,35.38万
宝马3系,2018款,8.6万公里,2018-06,昆明,16.90,34.39万
宝马X6,2022款,0.25万公里,2021-10,昆明,64.80,83.24万
奥迪Q3,Sportback,1.41万公里,2021-03,上海,,已降1万
Panamera,2020款,2.5万公里,2020-07,成都,,已降1.8万
Boxster,2015款,1.8万公里,2015-10,上海,42.00,81.08万
Macan,2014款,10.17万公里,2015-02,上海,,已降1万
宝马3系,2017款,10.56万公里,2017-03,宁波,16.48,35.38万
别克GL8,2021款,2.89万公里,2021-07,宁波,29.98,36.90万
高尔夫,2021款,0.64万公里,2021-04,宁波,14.58,18.00万
宝马X1,2021款,3.2万公里,2021-01,宁波,20.30,33.63万
Levante,2016款,6万公里,2018-03,常州,53.80,107.01万
奥迪A6L,2020款,3.1万公里,2021-01,北京,32.98,44.48万
宝马iX3,2021款,0.78万公里,2021-04,北京,28.80,43.41万
奔驰V级,2018款,1.7万公里,2019-12,北京,46.98,65.65万
奥迪A6L,2019款,5.31万公里,2019-12,宁波,31.58,47.09万
奔驰GLE轿跑,2015款,6.71万公里,2016-07,上海,,已降1万
奔驰E级(进口),2014款,3.08万公里,2015-07,北京,19.98,65.02万
宝马1系,2021款,1.3万公里,2021-06,北京,15.30,24.62万
宝马X7,2021款,2.91万公里,2021-01,合肥,91.88,120.27万
宝马5系,2021款,1万公里,2021-02,合肥,36.88,46.34万
宝马X3,2022款,2.6万公里,2021-11,合肥,37.68,47.41万
普拉多,2018款,7.9万公里,2018-10,合肥,46.68,54.25万
Cayenne,2018款,4万公里,2018-08,合肥,75.88,97.15万
传祺M8,2021款,1.3万公里,2021-09,合肥,22.78,27.44万
宝马X1,2020款,7.12万公里,2020-04,北京,15.98,32.22万
奥迪Q2L,2018款,3.4万公里,2019-03,宁波,13.28,23.75万
雷克萨斯ES,2015款,14.07万公里,2017-11,宁波,16.88,30.28万
奔驰S级,2021款,2.82万公里,2021-04,北京,85.68,97.67万
宝马1系,2021款,1.84万公里,2021-07,北京,14.98,24.62万
红旗H9,2020款,1.38万公里,2021-11,北京,37.98,58.59万
宝马5系,2018款,8.09万公里,2017-10,宁波,29.88,51.98万
Cayenne,2018款,7.4万公里,2018-09,佛山,69.98,97.15万
奔驰C级AMG,2019款,2.9万公里,2020-11,上海,47.50,65.11万
Levante,2021款,1万公里,2021-11,上海,72.80,97.67万
红旗H9,2020款,1.1万公里,2020-11,北京,24.68,35.80万
奥迪RS,4,4.19万公里,2019-05,北京,64.80,89.31万
奥迪Q2L,2021款,3.58万公里,2021-03,北京,14.38,23.75万
宝马1系,2021款,1.77万公里,2021-07,北京,15.38,24.62万
奥迪A4L,2015款,6.65万公里,2015-03,北京,12.98,33.95万
奥迪e-tron(进口),2021款,1.39万公里,2021-04,北京,46.68,71.51万
迈特威,2008款,18.28万公里,2009-08,北京,13.98,61.20万
别克GL8,2020款,7.4万公里,2021-03,北京,21.68,28.10万
宝马iX3,2022款,0.46万公里,2021-11,北京,29.60,43.41万
奔驰C级(进口),2017款,3.6万公里,2017-10,宁波,23.58,41.55万
奥迪A4L,2018款,7.32万公里,2018-07,北京,18.38,37.22万
宝马5系,2018款,6.35万公里,2019-07,北京,31.56,47.42万
Model,3,1.95万公里,2021-01,北京,18.98,29.28万
奔驰CLS,2017款,4.11万公里,2017-08,北京,29.98,70.43万
奔驰GLA,2018款,4.06万公里,2019-08,北京,15.98,29.29万
奔驰S级,2016款,9.33万公里,2017-01,北京,64.98,147.41万
宝马1系,2022款,0.01万公里,未上牌,北京,15.90,24.62万
奥迪A6L,2017款,4.64万公里,2017-07,北京,22.98,47.63万
Model,Y,0.69万公里,2022-01,北京,32.98,42.87万
途昂,2017款,8.05万公里,2018-06,北京,21.56,40.04万
奥迪Q5,2017款,7.17万公里,2017-09,北京,19.68,43.38万
别克GL6,2018款,7万公里,2018-07,上海,6.75,16.92万
朗逸,2011款,7.9万公里,2012-10,上海,2.50,13.55万
君威,2012款,7.2万公里,2012-10,上海,3.00,22.13万
科鲁兹,2012款,6.9万公里,2012-09,上海,1.75,13.01万
昊锐,2012款,7.9万公里,2013-10,上海,3.60,22.57万
君越,2012款,8.5万公里,2012-09,上海,3.20,27.23万
荣威350,2010款,7.5万公里,2012-10,上海,1.45,12.45万
福克斯,2011款,7.2万公里,2012-10,上海,2.00,13.87万
速腾,2009款,8.2万公里,2010-04,上海,2.78,16.04万
奔驰SLK级,2011款,7万公里,2014-01,青岛,14.98,63.83万
奔驰E级,2019款,2.2万公里,2019-08,北京,41.68,53.49万
奥迪A6L,2022款,0.7万公里,2022-07,北京,43.98,54.90万
奥迪Q5,2016款,14万公里,2016-07,南京,17.58,46.41万
朗行,2017款,5.5万公里,2017-09,深圳,5.98,13.56万
宝马1系,2018款,1.5万公里,2018-07,北京,10.70,27.98万
雷克萨斯ES,2020款,4万公里,2020-06,成都,24.80,31.48万
宝马3系,2020款,4.3万公里,2020-08,北京,30.58,41.24万
沃尔沃XC60,2019款,5.3万公里,2019-03,秦皇岛,23.58,42.54万
揽胜运动版,2015款,14万公里,2015-04,北京,46.00,112.67万
林肯大陆,2019款,2万公里,2019-07,北京,28.30,47.30万
奥迪R8,2010款,4万公里,2013-05,北京,80.88,252.70万
保时捷718,2019款,2万公里,2021-04,北京,68.80,71.75万
保时捷718,2020款,0.6万公里,2021-06,北京,68.80,61.33万
宋新能源,2017款,7万公里,2017-08,北京,6.80,29.95万
揽胜极光(进口),2015款,8.04万公里,2014-11,北京,14.15,68.17万
宝马X5(进口),2011款,11万公里,2012-02,北京,15.00,97.26万
奥迪Q7,2020款,3.2万公里,2020-09,北京,60.00,85.62万
欧陆,2012款,1.7万公里,2013-05,北京,139.80,330.85万
奥迪RS,6,4万公里,2016-09,北京,88.00,150.99万
欧陆,2012款,4万公里,2012-06,北京,118.00,330.85万
奔驰C级AMG,2014款,6万公里,2014-09,北京,55.50,130.04万
Cayenne,2011款,9万公里,2011-09,成都,29.80,100.08万
宝马i8,2014款,5万公里,2015-02,北京,82.80,195.17万
揽胜运动版,2014款,11万公里,2013-12,成都,39.80,113.76万
迈巴赫S级,2018款,7万公里,2018-09,北京,107.80,151.84万
保时捷911,2020款,0.8万公里,2021-06,北京,143.00,137.31万
奥迪RS,6,3万公里,2018-03,北京,91.00,150.99万
奥迪A6(进口),2022款,1万公里,2022-03,北京,55.50,63.15万
保时捷911,2019款,0.9万公里,2020-01,北京,151.00,158.48万
保时捷911,2020款,0.95万公里,2021-05,上海,143.90,137.31万
保时捷911,2020款,0.9万公里,2020-09,上海,155.80,154.25万
保时捷911,2019款,0.5万公里,2020-12,上海,153.80,158.48万
揽胜,2018款,5.1万公里,2018-03,上海,86.50,136.55万
Panamera,2019款,0.5万公里,2021-03,上海,115.00,105.62万
奔驰G级,2019款,5.1万公里,2019-08,上海,205.00,172.37万
保时捷911,2020款,0.9万公里,2021-06,上海,152.30,137.31万
Huracán,2016款,2.5万公里,2016-08,上海,221.80,296.12万
保时捷911,2019款,1万公里,2020-08,上海,149.80,158.48万
Cayenne,2018款,1.8万公里,2019-01,北京,103.00,125.70万
奔驰C级,2022款,0.6万公里,2021-10,济南,36.98,40.08万
奔驰GLE,2021款,1.39万公里,2021-01,济南,85.98,96.59万
奔驰E级,2020款,4.9万公里,2020-05,济南,33.58,46.65万
奔驰GLC,AMG,0.15万公里,2021-08,济南,62.80,71.51万
Aventador,2017款,1.3万公里,2020-06,杭州,568.80,666.15万
途铠,2019款,3万公里,2019-08,杭州,9.60,16.05万
途昂,2017款,4.5万公里,2018-01,武汉,17.00,35.70万
Macan,2017款,5万公里,2018-04,武汉,25.50,59.70万
途观L,2018款,5.26万公里,2018-04,成都,15.78,31.46万
宝马X1,2020款,3.1万公里,2020-07,成都,,已降1000元
速腾,2021款,2.2万公里,2020-11,成都,9.98,16.38万
MINI,2016款,4.2万公里,2016-11,成都,12.98,26.46万
林肯MKZ,2020款,4.1万公里,2020-01,成都,16.28,29.94万
ID.4,X,1万公里,2021-03,温州,17.98,25.60万
奥迪Q5L,2020款,2万公里,2020-07,武汉,23.00,45.13万
奔驰E级,2018款,8万公里,2018-08,杭州,33.80,51.65万
奔驰GLE,2020款,1.4万公里,2020-06,杭州,64.80,79.00万
飞驰,2005款,6.2万公里,2007-01,北京,69.00,366.89万
AMG,GT,1.5万公里,2017-07,北京,99.00,183.23万
坦克300,2023款,0.35万公里,2022-09,东莞,20.88,23.42万
Levante,2020款,0.3万公里,2020-08,北京,80.00,97.67万
Cayenne,2019款,6万公里,2019-12,北京,83.00,108.33万
沃尔沃XC60,2022款,1.3万公里,2022-03,郑州,29.50,43.08万
奔驰GLS,2021款,0.88万公里,2021-09,郑州,,已降1万
皇冠陆放,2021款,0.45万公里,2022-09,郑州,,已降6000元
途观,2012款,8万公里,2013-03,广州,6.28,31.13万
昂科威,2018款,11.4万公里,2018-02,广州,9.38,23.87万
奥德赛,2015款,9.2万公里,2015-08,北京,15.38,28.96万
奔驰C级,2022款,0.23万公里,2022-09,沈阳,33.80,37.93万
奥迪Q5L,2020款,3万公里,2021-01,杭州,29.80,45.13万
沃尔沃S90新能源,2021款,2.62万公里,2021-07,上海,28.50,54.26万
宝马X1,2016款,5.9万公里,2017-08,北京,12.60,31.04万
奔驰G级AMG,2019款,3.2万公里,2018-10,杭州,233.50,234.33万
奥迪Q5L,2020款,1.9万公里,2020-04,临沂,28.28,45.13万
宝马M2,2018款,1.4万公里,2020-12,北京,50.98,68.80万
艾力绅,2019款,3万公里,2021-03,衢州,19.98,33.63万
别克GL8,2011款,13万公里,2012-10,衢州,6.58,39.95万
威霆,2018款,6万公里,2019-07,衢州,22.58,37.10万
宝马3系,2015款,8.75万公里,2015-03,北京,15.80,50.45万
雅阁,2011款,13万公里,2011-06,沈阳,6.58,24.94万
奥迪Q3,Sportback,1.8万公里,2021-01,杭州,22.80,33.36万
奥迪Q5L,2018款,8.4万公里,2019-01,杭州,26.80,48.33万
奔驰GLA,AMG,0.9万公里,2021-05,杭州,34.80,47.74万
保时捷718,2018款,1.7万公里,2017-09,杭州,50.80,61.33万
奔驰CLS,2020款,2.2万公里,2019-08,杭州,47.80,69.23万
宝马7系,2019款,1.8万公里,2021-06,杭州,73.80,101.82万
揽胜运动版,2020款,3.3万公里,2020-11,杭州,71.80,98.21万
宝马X3,2022款,0.7万公里,2022-07,杭州,36.60,43.08万
别克GL8,2021款,2.7万公里,2021-10,杭州,31.80,34.07万
天籁,2016款,6万公里,2017-08,南宁,10.50,20.28万
奔驰A级AMG,2021款,0.7万公里,2022-05,杭州,38.80,47.74万
MINI,2011款,5.2万公里,2013-10,成都,7.28,29.20万
指南者,2019款,3.4万公里,2020-01,成都,9.98,19.08万
Cayenne,2019款,5万公里,2019-10,广州,82.80,108.33万
Macan,2022款,0.01万公里,2022-11,杭州,61.99,60.14万
奔驰G级AMG,2019款,1.77万公里,2020-07,郑州,,已降1万
宝马6系GT,2018款,3.7万公里,2019-04,郑州,43.80,74.89万
宝马X6,2021款,2.2万公里,2021-05,郑州,70.80,90.84万
Cayenne新能源,2019款,4万公里,2019-10,郑州,73.90,100.19万
宝马4系,2022款,0.45万公里,2022-01,郑州,,已降1.3万
牧马人,2021款,3.35万公里,2021-04,郑州,,已降7000元
奥迪Q7,2019款,3.2万公里,2019-11,郑州,,已降3000元
奥迪A8,2021款,0.9万公里,2021-04,郑州,,已降7000元
奔驰E级新能源,2022款,0.3万公里,2022-06,郑州,,已降3000元
本田CR-V,2021款,5万公里,2020-09,天津,15.88,22.99万
Ghibli,2021款,0.9万公里,2022-03,杭州,60.80,79.15万
Cayenne,2015款,6.5万公里,2015-05,沈阳,34.90,105.51万
宝马3系,2017款,6.8万公里,2017-05,沈阳,15.90,35.38万
奔驰GLE,2015款,7.5万公里,2015-11,沈阳,34.90,84.45万
奔驰GLE轿跑,2018款,4.7万公里,2018-04,沈阳,,已降2万
奔驰G级,2016款,7.5万公里,2016-08,沈阳,119.90,184.31万
埃尔法,2018款,9.19万公里,2019-02,沈阳,95.90,89.33万
揽胜,2015款,10.8万公里,2015-04,沈阳,78.90,191.91万
宝马X5(进口),2013款,8.5万公里,2013-10,沈阳,16.90,97.80万
宝马X6,2018款,6.4万公里,2018-02,沈阳,39.90,84.00万
揽胜运动版,2018款,5万公里,2019-05,沈阳,69.90,111.59万
奔驰GLS,2018款,5.3万公里,2020-07,沈阳,78.90,132.41万
奔驰G级,2020款,1.5万公里,2021-08,沈阳,171.90,155.20万
高尔夫,2019款,1.73万公里,2019-09,北京,11.38,17.93万
Sprinter,2016款,4.5万公里,2018-03,大连,38.80,
英菲尼迪Q70,2013款,11万公里,2014-05,上海,13.00,44.81万
迈特威,2016款,14万公里,2016-01,大连,21.80,59.68万
ID.4,X,1万公里,2022-01,上海,17.50,25.60万
宝马3系,2019款,6.5万公里,2019-05,上海,22.28,39.06万
奥迪A4L,2019款,3.8万公里,2020-01,上海,22.38,36.45万
凯迪拉克XTS,2018款,5.7万公里,2019-10,上海,16.00,32.55万
海豚,2021款,1.3万公里,2021-12,上海,11.98,14.20万
Model,Y,1.1万公里,2021-11,上海,24.50,31.67万
凯美瑞,2018款,8万公里,2018-03,南宁,14.89,23.86万
奔驰G级,2021款,1.7万公里,2022-02,杭州,243.80,230.88万
别克GL8,2021款,3.5万公里,2020-11,郑州,20.98,28.10万
骐达TIIDA,2019款,3.3万公里,2019-04,北京,8.70,13.67万
锐界,2015款,8万公里,2016-09,广州,12.80,32.54万
保时捷718,2016款,4万公里,2018-09,北京,51.00,63.83万
雷克萨斯IS,2017款,2.8万公里,2019-06,北京,30.80,36.69万
途锐,2019款,6万公里,2019-12,杭州,38.80,67.28万
宝马3系GT,2019款,5万公里,2019-06,杭州,23.60,39.06万
马自达3,昂克赛拉,3万公里,2019-03,杭州,8.80,15.19万
科鲁兹,2012款,8.3万公里,2012-10,苏州,1.88,14.64万
普拉多,2016款,10万公里,2017-10,成都,45.98,67.87万
保时捷911,2020款,0.8万公里,2021-03,北京,140.00,137.31万
零跑T03,2021款,1.8万公里,2021-08,南宁,6.10,6.49万
奔驰E级,2014款,10万公里,2014-05,北京,17.98,48.30万
宝马X1(进口),2010款,13万公里,2010-12,北京,6.98,61.33万
奥迪A4L,2013款,12.15万公里,2014-06,北京,15.98,37.88万
别克GL8,2017款,4.2万公里,2018-06,北京,27.88,43.41万
自由光,2016款,2.25万公里,2017-01,北京,9.98,23.86万
威驰,2021款,0.5万公里,2021-12,北京,7.18,9.53万
皇冠,2008款,14.9万公里,2008-11,北京,11.98,38.75万
凯美瑞,2018款,4.6万公里,2018-09,北京,12.98,21.69万
马自达6,2012款,9.2万公里,2012-02,北京,3.98,19.52万
英菲尼迪G系,2009款,9.2万公里,2009-08,北京,8.98,52.43万
汉兰达,2012款,6.5万公里,2012-05,北京,12.98,32.43万
Model,Y,0.9万公里,2022-02,杭州,25.80,31.67万
奔驰C级,2020款,2万公里,2020-05,温州,25.90,37.64万
雷克萨斯GS,2017款,3万公里,2018-11,温州,30.00,46.57万
捷豹XEL,2021款,0.7万公里,2021-07,成都,20.00,36.56万
